Date,SPY_Close,SPY_Volume,TLT_Close,TLT_Volume,GLD_Close,GLD_Volume,USO_Close,USO_Volume,VIX_Close,TNX_Close,News_Sentiment
2010-01-04,85.27922058105469,118944600,57.18760299682617,2829100,109.80000305175781,16224100,322.1600036621094,1426038,20.040000915527344,3.8410000801086426,0.19868566120449307
2010-01-05,85.50492858886719,111579900,57.55687713623047,2841600,109.69999694824219,14213100,323.2799987792969,1306275,19.350000381469727,3.755000114440918,-0.055305720468473867
2010-01-06,85.56514739990234,116074400,56.7863883972168,4099600,111.51000213623047,24981900,327.760009765625,2473725,19.15999984741211,3.808000087738037,0.259075415240277
2010-01-07,85.92633819580078,131091100,56.8819580078125,2793200,110.81999969482422,13609800,325.760009765625,1252963,19.059999465942383,3.822000026702881,0.6092119425632102
2010-01-08,86.21228790283203,126402800,56.856475830078125,2910700,111.37000274658203,15894600,327.44000244140625,1174188,18.1299991607666,3.808000087738037,-0.09366134988933439
2010-01-11,86.33267974853516,106375700,56.54447555541992,2181300,112.8499984741211,17253000,324.32000732421875,1121988,17.549999237060547,3.818000078201294,-0.09365478277967222
2010-01-12,85.52754211425781,163333500,57.51229476928711,4321200,110.48999786376953,29182600,317.0400085449219,1495013,18.25,3.7190001010894775,0.6316851262029566
2010-01-13,86.24991607666016,161822000,56.84370040893555,4755000,111.54000091552734,20014000,313.67999267578125,1937838,17.850000381469727,3.7829999923706055,0.3069738916611635
2010-01-14,86.48316955566406,115718800,57.63965606689453,4188800,112.02999877929688,18305300,312.4800109863281,1071988,17.6299991607666,3.7339999675750732,-0.18778975437398085
2010-01-15,85.5124740600586,212283100,57.996246337890625,4142800,110.86000061035156,18002700,307.20001220703125,1576913,17.90999984741211,3.6760001182556152,0.21702401743438587
2010-01-19,86.58101654052734,139172700,57.830692291259766,2496000,111.5199966430664,10468200,311.44000244140625,1022538,17.579999923706055,3.7070000171661377,-0.1853670771249849
2010-01-20,85.70060729980469,216490200,58.4165153503418,2800500,108.94000244140625,17535000,303.1199951171875,1429913,18.68000030517578,3.6589999198913574,-0.18629190142810276
2010-01-21,84.05265045166016,344859600,58.6839485168457,4363100,107.37000274658203,25748400,297.9200134277344,1714650,22.270000457763672,3.6110000610351562,0.09678490862641365
2010-01-22,82.178955078125,345942400,58.58207321166992,3666900,107.16999816894531,24210100,290.7200012207031,2237738,27.309999465942383,3.5980000495910645,-0.7653120978631192
2010-01-25,82.60031127929688,186937500,58.314640045166016,2419500,107.4800033569336,13200500,294.4800109863281,1131550,25.40999984741211,3.630000114440918,-0.6899671330052132
2010-01-26,82.25422668457031,211168800,58.33372116088867,3138100,107.55999755859375,12297100,292.0,1138113,24.549999237060547,3.630000114440918,-0.22491501169638908
2010-01-27,82.6455078125,271863600,58.30192947387695,3325700,106.52999877929688,19005100,288.6400146484375,1850538,23.139999389648438,3.6440000534057617,-0.40513244813376953
2010-01-28,81.6973648071289,316104000,58.270057678222656,3058200,106.4800033569336,16793900,289.2799987792969,1448638,23.729999542236328,3.6579999923706055,0.12569893303810956
2010-01-29,80.80944061279297,310677600,58.77948760986328,4930600,105.95999908447266,20278800,285.1199951171875,1794850,24.6200008392334,3.6089999675750732,-0.3632096302084844
2010-02-01,82.06607818603516,187865000,58.24589157104492,3598500,108.3499984741211,14901900,293.760009765625,1305925,22.59000015258789,3.6540000438690186,-0.5649214805341166
2010-02-02,83.05934143066406,216327900,58.412044525146484,3047500,109.12999725341797,14292200,300.239990234375,1831350,21.479999542236328,3.634999990463257,0.5862595075686217
2010-02-03,82.6455078125,172730700,57.73469543457031,5343700,108.69999694824219,13393200,301.20001220703125,2250713,21.600000381469727,3.703000068664551,-0.09031052019461427
2010-02-04,80.0945816040039,356715700,58.64845657348633,6095000,104.37000274658203,39991900,286.3999938964844,2605938,26.079999923706055,3.609999895095825,0.027011281875169536
2010-02-05,80.2601318359375,493585800,58.77628707885742,6875800,104.68000030517578,32656700,281.67999267578125,3667938,26.110000610351562,3.5460000038146973,-0.5698992744853827
2010-02-08,79.68069458007812,224166900,58.852989196777344,3386000,104.04000091552734,17176600,280.7200012207031,1532313,26.510000228881836,3.5920000076293945,-0.21775308981007307
2010-02-09,80.68151092529297,337820500,58.26505661010742,4790000,105.41000366210938,25959200,289.67999267578125,1593613,26.0,3.632999897003174,0.04436903588394644
2010-02-10,80.52349853515625,240511500,57.70912551879883,5068000,105.12000274658203,16215200,292.0799865722656,1290275,25.399999618530273,3.694000005722046,-0.46039743096892116
2010-02-11,81.3663330078125,223591600,57.39603042602539,5087500,107.12999725341797,19350100,294.239990234375,1497450,23.959999084472656,3.7330000400543213,0.1502792073382688
2010-02-12,81.29855346679688,304622100,57.63247299194336,2833800,107.04000091552734,14464200,290.4800109863281,1570538,22.729999542236328,3.693000078201294,-0.240255475967522
2010-02-16,82.57778930664062,159317500,57.741058349609375,2440900,109.62000274658203,20895700,302.32000732421875,1892513,22.25,3.6640000343322754,-0.11667749991731072
2010-02-17,82.96906280517578,168845100,57.08293533325195,4368200,109.25,19593400,303.760009765625,1291075,21.719999313354492,3.742000102996826,-0.24068264489175878
2010-02-18,83.45819854736328,193708600,56.85285186767578,5121800,109.9800033569336,19177400,309.8399963378906,2019650,20.6299991607666,3.802999973297119,0.7409112738035751
2010-02-19,83.6312484741211,222684900,57.15959167480469,3502500,109.47000122070312,21928700,312.7200012207031,2112275,20.020000457763672,3.7820000648498535,-0.0053988898951735685
2010-02-22,83.64630889892578,132346900,56.92313003540039,3382600,109.06999969482422,10742800,312.239990234375,1423563,19.940000534057617,3.7990000247955322,-0.4230843715823602
2010-02-23,82.63045501708984,207497000,57.811378479003906,5474500,107.88999938964844,13629600,306.6400146484375,1408063,21.3700008392334,3.690999984741211,0.32901796484127566
2010-02-24,83.39045715332031,176350700,57.95197296142578,4423200,107.36000061035156,17207400,311.9200134277344,1246663,20.270000457763672,3.694999933242798,-0.48833745998840894
2010-02-25,83.277587890625,259634700,58.27784729003906,3707700,108.30999755859375,23400400,304.8800048828125,1745050,20.100000381469727,3.6419999599456787,0.08354543800190217
2010-02-26,83.33023834228516,173589300,58.578163146972656,4349100,109.43000030517578,13033900,310.55999755859375,1138288,19.5,3.5950000286102295,-0.7838680495519103
2010-03-01,84.19562530517578,147709700,58.552520751953125,2415200,109.43000030517578,12830900,306.79998779296875,1212763,19.260000228881836,3.6059999465942383,-0.5312744195593723
2010-03-02,84.42890930175781,160992400,58.47559356689453,2260600,111.0199966430664,20102200,310.3999938964844,1269575,19.059999465942383,3.614000082015991,0.07874449434764941
2010-03-03,84.504150390625,150785000,58.328208923339844,2156100,111.62999725341797,16222100,315.20001220703125,1554150,18.829999923706055,3.625,0.2953866319981642
