,SPY_Close,SPY_Volume,TLT_Close,TLT_Volume,GLD_Close,GLD_Volume,USO_Close,USO_Volume,VIX_Close,TNX_Close,News_Sentiment,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Regime
2010-03-31,88.40338134765625,161078700,57.37303161621094,4263900,108.9499969482422,14006800,322.32000732421875,1678563,17.59000015258789,3.8329999446868896,-0.191669695138116,-0.99288756,0.7081763,0.89950764,-0.91148335,-0.9736989,-0.4779347,-0.7829587,-0.7876035,0.940409,-0.9274368,0.94812715,-0.20391782,0.88768387,-0.923901,0.061813343,0.7785616,0.5706309,-0.9086401,-0.56238157,-0.5690057,-0.6691943,-0.5110656,-0.57949996,-0.9498047,-0.7696877,-0.8540126,0.29120663,0.22015071,-0.38023868,0.92688674,0.377682,0.3628357,1
2010-04-01,89.00787353515625,161215200,57.23274993896485,2912400,110.26000213623048,11370500,329.9200134277344,1133750,17.469999313354492,3.858999967575073,-0.0742635906655268,-0.9926966,0.6224206,0.91805744,-0.900195,-0.9745604,-0.69173443,-0.8834918,-0.71057796,0.9384342,-0.92108697,0.95240766,-0.31573215,0.8706995,-0.9590421,0.03909774,0.68421763,0.49145436,-0.91950035,-0.57260257,-0.58749646,-0.54456556,-0.39574492,-0.45311627,-0.93698615,-0.7309247,-0.85361123,0.019408178,0.18184161,-0.3911725,0.91593647,0.48300427,0.1101574,1
2010-04-05,89.73320770263672,105847600,56.28049850463867,5652000,110.88999938964844,8207900,336.5599975585937,956388,17.020000457763672,3.99399995803833,-0.4425339896024113,-0.99246687,0.69208026,0.8934587,-0.9276574,-0.9759272,-0.5047489,-0.7861971,-0.78454775,0.9419032,-0.9390692,0.94564307,-0.20206812,0.8945591,-0.93373555,0.064008325,0.8094312,0.5778502,-0.9031668,-0.56798935,-0.55694765,-0.7066263,-0.5469753,-0.5793946,-0.9572272,-0.76931196,-0.85185426,0.28801614,0.23526856,-0.41346037,0.93524253,0.37622875,0.3966403,1
2010-04-06,89.94475555419922,110384200,56.37057113647461,3584600,111.02999877929688,10322300,336.1600036621094,916538,16.229999542236328,3.9679999351501465,-0.4784826496322683,-0.9924728,0.60479504,0.9151948,-0.90846366,-0.9753026,-0.699007,-0.88464695,-0.7147066,0.9396323,-0.93035513,0.9506702,-0.3159033,0.8743657,-0.96209794,0.040587634,0.7026734,0.49593052,-0.91625154,-0.57426697,-0.57863975,-0.5638664,-0.4119717,-0.45574474,-0.94170135,-0.72989005,-0.8514707,0.01999497,0.19263107,-0.39835203,0.92000425,0.48352543,0.12236497,0
2010-04-07,89.43097686767578,184576300,57.09124755859375,6389900,112.48999786376952,19139500,332.1600036621094,1066288,16.6200008392334,3.86299991607666,0.3250103289576792,-0.9932761,0.59729815,0.9273932,-0.8877842,-0.97122455,-0.67788917,-0.89386773,-0.7174397,0.93723166,-0.91640234,0.9550598,-0.32104045,0.86623675,-0.9592126,0.030239189,0.61149555,0.4696679,-0.92420596,-0.5635559,-0.59615487,-0.49748445,-0.3157287,-0.4849246,-0.92984265,-0.7216249,-0.85504335,-0.03005334,0.19042076,-0.3413643,0.9084436,0.49014997,0.02418971,1
2010-04-08,89.74076080322266,158704000,57.1169319152832,3797600,112.6500015258789,12445400,331.5199890136719,856713,16.479999542236328,3.8959999084472656,0.5424960114283292,-0.9936782,0.61552465,0.9327947,-0.87403655,-0.9692827,-0.6617713,-0.8931194,-0.7195481,0.93524706,-0.90353656,0.95845705,-0.32203913,0.86145353,-0.9544608,0.02734635,0.5743234,0.46014014,-0.92930216,-0.5578491,-0.60892206,-0.46581224,-0.27864137,-0.48427454,-0.9223421,-0.7220915,-0.8588502,-0.03492702,0.17706656,-0.31733647,0.9002912,0.4900444,-0.009962954,1
2010-04-09,90.33010864257812,133006500,57.25210571289063,2311300,113.63999938964844,16427800,329.3599853515625,1130175,16.139999389648438,3.888000011444092,-0.0288040486321335,-0.9938994,0.63272333,0.93498564,-0.8658995,-0.9685867,-0.6545597,-0.8915257,-0.7172536,0.93376994,-0.89314187,0.96087694,-0.3218762,0.8588915,-0.9513979,0.025492158,0.55225015,0.45592391,-0.932705,-0.5555671,-0.6172544,-0.4500862,-0.26026937,-0.48513073,-0.9177346,-0.7230857,-0.86215603,-0.035970856,0.16642703,-0.31112713,0.8957411,0.4897612,-0.024001755,0
2010-04-12,90.4736785888672,110279000,57.55451965332031,2939600,113.01000213623048,11118900,327.44000244140625,795413,15.579999923706056,3.845999956130981,0.4014131591568097,-0.99392974,0.48420215,0.93692976,-0.91153544,-0.9800079,-0.59044725,-0.8524599,-0.663382,0.9306386,-0.86655504,0.95928824,-0.45003375,0.8760865,-0.8615404,-0.019982416,0.51149434,0.30654454,-0.9462555,-0.46296516,-0.651935,-0.140597,-0.19827916,-0.3745695,-0.8950258,-0.6635141,-0.900964,-0.32956082,-0.197201,-0.43020976,0.8971644,0.1859271,-0.47212732,0
2010-04-13,90.54167938232422,125043600,57.74108123779297,3090900,112.69000244140624,11261100,327.1199951171875,1324150,16.200000762939453,3.811000108718872,0.1446544100190536,-0.9952572,0.6632285,0.94591945,-0.85080755,-0.96242476,-0.55749196,-0.8319426,-0.72809386,0.92817926,-0.85573614,0.96275276,-0.31150144,0.8660418,-0.9127163,-0.02623586,0.39197347,0.32976648,-0.9425006,-0.49245098,-0.6402288,-0.31461215,-0.18441093,-0.5244733,-0.8892202,-0.6873428,-0.8973112,-0.1047,-0.090130016,-0.30577752,0.8670374,0.39596573,-0.28175515,0
2010-04-14,91.5692901611328,161609000,57.335693359375,3570100,113.02999877929688,10572100,334.0799865722656,1619975,15.59000015258789,3.8550000190734863,-0.2580479018420497,-0.9966874,0.76479226,0.92322147,-0.6602815,-0.9202854,-0.34945735,-0.56662047,-0.6854733,0.8606436,-0.7447755,0.9683323,-0.14086068,0.8979934,-0.6794048,-0.23984604,0.23282829,-0.15497066,-0.91331255,-0.32904056,-0.5490538,-0.2893756,0.2174149,-0.47035354,-0.80382377,-0.5821077,-0.91223663,-0.03463039,-0.5055293,-0.49525744,0.75301445,0.1785419,-0.4421072,0
